"すみません의 세 가지 의미를 모두 쓰시오.","사과 / 부름 / 감사"
"일본 택시의 자동문 서비스가 보급되는 계기가 된 행사는?","1964년 도쿄 올림픽"
"일본 욕실의 구조적 특징은?","씻는 곳과 싸는 곳이 분리되어 있다"
"일본 가정에서 신발을 벗어 높을 때 신발의 코는 어느 방향을 향하게 하는가?","밖"
"일본 가옥에서 집 안과 밖을 구분하며 신발을 벗는 공간은?","현관"
"일본 택시에서 빈차 표시는 어떤 색으로 켜져 있는가?","빨간색"
"일본어로 5층 이하의 주로 목재로 된 저가의 다세대 주택을 뜻하는 말은?","아파트"
"일본어로 고층의 콘크리트 철근 구조의 공동 주택을 뜻하는 말은?","멘션"
"일본 고층 아파트에서 현관으로 대피할 수 없을 때 사용하도록 설치된 시설은?","피난용 사다리"
"일본 공동 주택의 베란다에 화재나 재난 시 부수고 대피하기 위해 설치된 시설은?","대피용 칸막이 판"
"일본의 전통적인 방에서 도코노마 앞은 어떤 자리인가?","상석"
"바닥보다 약간 높이어 만들고 벽에 족자를 걸고 장식하는, 일본 전통 방의 특수한 공간을 무엇이라고 하는가?","도코노마"
"일본의 전통 바닥재인 다다미는 두꺼울수록?","비싸다"
"볼짚 판에 왕골·부들 등으로 만든 돌자리를 붙인 일본의 전통 바닥재는?","다다미"
"이불·방석 등을 수납하는 일본의 전통 붙박이장을 무엇이라고 하는가?","오시이레"
"다다미, 도코노마, 쇼지 등으로 구성된 일본의 전통적인 방을 부르는 말은?","와시츠"
"일본에서 결혼 후 부부의 성씨는 어떻게 사용하는가?","하나로 통일한다"
"일본의 화폐 단위는?","엔"
"기모노 위에 걸치는 곉옷의 이름은?","하오리"
"기모노와 함께 입는 통이 넓은 바지의 이름은?","하카마"
"기모노에 두르는 넓은 장식용 허리뗠의 이름은?","오비"
"기모노와 함께 신는 일본의 전통 신발의 이름은?","조리"
"일본을 구성하는 4개의 큰 섬 이름을 모두 쓰시오.","홋카이도, 혼슈, 시코쿠, 규슈"
"일본에서 가장 넓은 호수의 이름은?","비와호"
"세이칸 터널의 길이는?","53.85km"
"일본에서 가장 긴 해저 터널의 이름은?","세이칸 터널"
"도쿄스카이트리의 높이는?","634m"
"일본에서 가장 높은 타워의 이름은?","도쿄스카이트리"
"후지산의 높이는 몇 미터인가?","3,776m"
"일본에서 가장 높은 산의 이름은?","후지산"
"일본의 수도는?","도쿄"
"오본 때 추는 일본 전통 춤을 무엇이라고 하는가?","본오도리"
"일본의 오본은 보통 언제 행해지는가?","8월 15일 전후"
"한국의 추석과 비슷하게 성묘를 가고 본오도리를 추는 일본의 행사는?","오본"
"세쓰분은 보통 몇 월 며칠 무렵인가?","2월 3일 무렵"
"일본 설날에 신사를 참배하는 풍습을 무엇이라고 하는가?","하쓰모데"
"일본의 성인의 날은 1월 몇째 요일인가?","1월 둘째 월요일"
"""귀신은 밖으로, 복은 안으로!""를 외치며 콩을 뿌리고 나이만큼 콩을 먹는 일본의 행사는?","세쓰분"
"일본 설날에 어른이 아이들에게 주는 세뻗돈을 무엇이라고 하는가?","오토시다마"
"일본의 설날은 몇 월 며칠인가?","1월 1일"
"미소(일본 된장)로 맛을 낸 국물에 둥근 모양의 찰떡을 넣은 오조니를 먹는 일본의 지역은?","간사이 지방"
"둥근 거울 모양의 찹쌀떡으로 만들어 가족의 무병장수를 기원하며 집 안에 장식하는 일본의 새해 장식은?","가가미모치"
"주로 소나무와 대나무로 만들어, 집 밖의 대문이나 현관에 장식하는 일본의 새해 장식은?","가도마쓰"
"복을 겹겹이 쌓는다는 의미로 찬합에 담아, 보통 연말에 준비하여 새해 3일 동안 먹는 일본의 대표적인 새해 음식은?","오세치 요리"
"간장으로 맛을 낸 국물에 네모난 모양의 찰떡을 넣은 일본식 떡국의 이름은?","오조니"
"일본 자동차의 운전석은 왼쪽, 오른쪽 어느 쪽인가?","오른쪽"
"일본 신사 입구에 세워진, 일본 특유의 문 모양 구조물은?","도리이"
"일본의 다도(茶道)를 중심으로 발달한 일본의 전통 음료는?","말차"
"일본의 4개 큰 섬 중 가장 큰 섬은?","혼슈"
"2019년부터 사용 중인 일본의 현재 연호는?","레이와"
"일본 국기의 이름은?","히노마루"
"일본 화폐 단위 '엔'을 나타내는 기호는?","¥"
"일본의 통화 코드(ISO 4217)는?","JPY"
"일본의 정치 체제는?","입헌군주제"
